index,value,average
0,23769.0,25327.105263157893
1,22167.0,22167.0
2,21525.0,22613.36842105263
3,5472.0,5489.368421052632
4,2691.0,4027.2631578947367
5,1005.0,1005.0
index,value,average
0,20391.0,23237.21052631579
1,22191.0,22191.0
2,18804.0,20748.157894736843
3,7191.0,7208.368421052632
4,2793.0,4299.1578947368425
5,2028.0,2028.0
