index,value,average
0,8288.0,9116.421052631578
1,10625.0,10625.0
2,10167.0,10460.315789473685
3,2339.0,2342.5789473684213
4,1063.0,2585.3684210526317
5,1040.0,1040.0
index,value,average
0,8288.0,9116.421052631578
1,10625.0,10625.0
2,10167.0,10460.315789473685
3,2339.0,2342.5789473684213
4,1063.0,2585.3684210526317
5,1040.0,1040.0
index,value,average
0,8288.0,9116.421052631578
1,10625.0,10625.0
2,10167.0,10460.315789473685
3,2339.0,2342.5789473684213
4,1063.0,2585.3684210526317
5,1040.0,1040.0
index,value,average
0,8288.0,9116.421052631578
1,10625.0,10625.0
2,10167.0,10460.315789473685
3,2339.0,2342.5789473684213
4,1063.0,2585.3684210526317
5,1040.0,1040.0
index,value,average
0,8288.0,9116.421052631578
1,10625.0,10625.0
2,10167.0,10460.315789473685
3,2339.0,2342.5789473684213
4,1063.0,2585.3684210526317
5,1040.0,1040.0
