index,value,average
0,12348.0,14068.758620689656
1,20803.0,20803.0
2,10673.0,12034.586206896553
3,6990.0,9264.931034482759
4,6372.0,6372.0
index,value,average
0,11350.0,13582.965517241379
1,18052.0,18816.03448275862
2,20694.0,20694.0
3,16228.0,17108.48275862069
4,7849.0,9860.51724137931
5,8364.0,9087.241379310344
6,8123.0,9463.48275862069
7,8186.0,8186.0
